# [DATA] 지은 담당. 보건복지부 2025 한국인 영양소 섭취기준(KDRI) 표 대조 완료.
# *** 주의: 이 표의 값은 "하루 전체"가 아니라 "한 끼 기준"(하루 권장량 ÷ 3)이다. ***
# 하루 3끼를 균등하게 먹는다고 가정한 단순 근사치이며, 원본 KDRI 공식 값의 1/3로 계산함.
# 탄수화물/단백질/칼슘/철/비타민C: 공식 하루 권장섭취량(RDA)을 3으로 나눈 값.
# 지방: 에너지적정비율 15-30% 중간값(22.5%)으로 하루치를 환산한 뒤 3으로 나눈 값.

gender,age_group,calories_kcal,carbohydrate_g,protein_g,fat_g,calcium_mg,iron_mg,vitamin_c_mg
남,19-29,867,43.3,21.7,21.7,267,3.3,33.3
여,19-29,667,43.3,18.3,16.7,233,4.7,33.3
남,30-49,833,43.3,21.7,21.0,267,3.3,33.3
여,30-49,633,43.3,16.7,16.0,233,4.7,33.3
